transaction_id,date,total_sales,total_expenses,profit,location
4603488,10/5/2022,5006.12,1817.69,3188.43,Miami
9321468,1/22/2022,5866.32,2607.62,3258.7,Los Angeles
2678964,4/29/2022,3405.0,1711.26,1693.74,Chicago
8571567,9/1/2022,1487.92,2187.38,-699.46,Chicago
7959024,7/30/2022,6688.22,3104.42,3583.8,Miami
3032330,3/6/2022,2364.33,3869.98,-1505.65,Chicago
3275741,7/30/2022,1992.2,2347.98,-355.78,Chicago
5912818,8/6/2022,2014.25,4541.93,-2527.68,Chicago
9148615,3/15/2022,9788.63,1414.28,8374.35,New York
0107388,6/23/2022,2431.34,1890.89,540.45,Miami
7681881,11/22/2022,7101.4,2873.72,4227.68,Chicago
7066060,9/13/2022,3504.24,3206.24,298.0,Chicago
3602898,2/23/2022,4094.28,4831.68,-737.4,Los Angeles
3801882,8/27/2022,3689.62,2346.83,1342.79,Miami
4002403,10/23/2022,7033.01,2591.71,4441.3,Miami
0683982,2/17/2022,707.28,1418.08,-710.8,Los Angeles
0051899,4/27/2022,7710.17,4986.12,2724.05,New York
6896631,7/31/2022,8478.71,4882.23,3596.48,Miami
2282042,11/15/2022,8521.63,393.61,8128.02,New York
3388887,11/26/2022,1465.79,4106.57,-2640.78,New York
2181900,2/19/2022,3006.71,1554.23,1452.48,Los Angeles
2621277,5/5/2022,3660.33,4069.15,-408.82,Chicago
3428719,6/3/2022,6136.11,2213.79,3922.32,Chicago
0825722,3/28/2022,3781.53,981.76,2799.77,New York
4678858,3/2/2022,2766.45,572.27,2194.18,Los Angeles
8410161,2/21/2022,8070.58,1135.69,6934.89,Miami
6376875,8/3/2022,9247.22,1996.58,7250.64,Chicago
4846699,8/29/2022,1493.37,4442.54,-2949.17,Miami
3633776,5/24/2022,5033.71,4968.08,65.63,Chicago
2158646,6/27/2022,9092.47,476.16,8616.31,Los Angeles
4021281,2/8/2022,7489.7,3772.92,3716.78,Miami
8964771,11/2/2022,9473.09,1703.86,7769.23,Los Angeles
9794233,8/30/2022,5721.87,2167.77,3554.1,Chicago
0171352,4/2/2022,7280.32,1696.12,5584.2,Miami
4717043,5/18/2022,6996.84,2340.49,4656.35,Miami
7873458,8/11/2022,517.6,763.99,-246.39,Chicago
8006407,9/14/2022,971.93,207.38,764.55,Los Angeles
4131837,3/20/2022,5385.48,287.76,5097.72,Miami
0407755,8/9/2022,9180.3,3145.65,6034.65,Miami
9476690,5/6/2022,9858.68,448.0,9410.68,New York
7523287,3/15/2022,2328.41,1958.28,370.13,Miami
8589562,10/31/2022,800.79,2929.18,-2128.39,Chicago
6650510,11/29/2022,2444.18,3761.41,-1317.23,Los Angeles
3802541,4/5/2022,1012.78,4647.21,-3634.43,New York
3783551,11/10/2022,9807.33,3061.73,6745.6,Los Angeles
4909380,10/16/2022,6645.33,2679.56,3965.77,Chicago
0574941,1/17/2022,9726.82,3062.01,6664.81,Miami
2092544,3/29/2022,2175.29,3347.16,-1171.87,Miami
6455092,6/17/2022,1062.4,4637.73,-3575.33,Los Angeles
1878135,11/5/2022,3338.83,2003.6,1335.23,New York
6746975,8/9/2022,5979.05,2604.91,3374.14,Chicago
4029870,7/23/2022,4574.13,2928.32,1645.81,New York
8458177,7/25/2022,2921.01,3855.11,-934.1,Los Angeles
9487805,11/27/2022,4470.07,4918.42,-448.35,New York
6164665,7/31/2022,9251.61,3868.42,5383.19,New York
8191704,7/21/2022,4326.14,1206.85,3119.29,New York
4388938,8/30/2022,3802.77,3227.17,575.6,New York
7105840,8/18/2022,6721.6,4040.15,2681.45,Chicago
2608498,11/17/2022,7142.47,3966.71,3175.76,Chicago
3211941,4/28/2022,4469.52,1140.62,3328.9,Miami
0119336,10/5/2022,750.36,1301.1,-550.74,Chicago
7725674,10/8/2022,8995.51,3267.1,5728.41,Miami
3379393,10/13/2022,1780.89,4458.73,-2677.84,Chicago
