transaction_id,date,total_sales,total_expenses,profit,location
3081884,6/1/2022,7902.94,844.12,7058.82,Miami
3655622,8/22/2022,4228.24,264.36,3963.88,New York
3529070,12/27/2022,2667.64,3515.27,-847.63,New York
3576428,11/22/2022,735.37,4501.43,-3766.06,New York
6586257,9/13/2022,2568.97,513.09,2055.88,Los Angeles
4195514,4/11/2022,3918.81,3861.89,56.92,Miami
9099436,2/15/2022,8299.98,2509.79,5790.19,Miami
2296960,4/9/2022,9164.55,2247.99,6916.56,Los Angeles
6717310,6/12/2022,3214.0,3926.12,-712.12,New York
6049151,7/17/2022,1816.2,3958.75,-2142.55,Los Angeles
6374958,9/28/2022,1763.38,1397.84,365.54,New York
9543581,8/27/2022,1630.51,2173.39,-542.88,Miami
3398586,5/3/2022,8250.89,3586.33,4664.56,Miami
5763415,11/18/2022,2501.32,2201.44,299.88,Los Angeles
3959167,7/19/2022,4583.32,2130.6,2452.72,New York
7350554,1/3/2022,7448.47,4293.44,3155.03,Los Angeles
8232410,3/18/2022,3406.8,2921.54,485.26,Chicago
4506202,6/24/2022,4491.91,4395.65,96.26,Miami
9174570,1/12/2022,8795.38,233.06,8562.32,Miami
5337313,12/2/2022,6079.09,2457.44,3621.65,Miami
2965465,9/25/2022,7.24,1843.71,-1836.47,Chicago
8432116,7/12/2022,238.73,2337.08,-2098.35,Miami
1595401,7/23/2022,6825.39,1524.93,5300.46,Chicago
9630477,7/28/2022,7398.58,2704.3,4694.28,Miami
2204576,7/9/2022,4619.46,4672.97,-53.51,Los Angeles
1267633,10/23/2022,4409.67,4654.29,-244.62,New York
2963780,1/21/2022,4982.43,1418.47,3563.96,Miami
9917720,3/19/2022,9497.94,380.44,9117.5,New York
7670649,8/8/2022,1125.08,2702.87,-1577.79,Miami
0926629,4/1/2022,9779.13,3765.18,6013.95,Miami
7914307,7/15/2022,3655.49,1030.28,2625.21,Miami
4976546,1/19/2022,6947.84,3309.74,3638.1,Miami
5970245,2/21/2022,6733.76,3719.93,3013.83,Miami
7317725,9/8/2022,3421.97,2704.93,717.04,Chicago
3482809,2/21/2022,3792.76,3204.19,588.57,Chicago
