transaction_id,date,total_sales,total_expenses,profit,location
3173860,11/18/2022,4690.91,2874.29,1816.62,Miami
2289848,1/29/2022,6297.53,2917.65,3379.88,Miami
3042079,11/26/2022,5101.73,755.47,4346.26,Chicago
8907620,9/20/2022,4062.0,2996.66,1065.34,Miami
7612373,6/12/2022,9578.13,3203.66,6374.47,New York
7746593,5/19/2022,2938.72,2242.76,695.96,Chicago
6595459,2/12/2022,3108.56,682.78,2425.78,Miami
1634140,5/22/2022,1417.93,200.93,1217.0,Chicago
2560067,4/12/2022,7612.7,1967.82,5644.88,Miami
1440189,1/18/2022,3384.98,3098.93,286.05,Chicago
1506931,9/14/2022,1224.97,1968.51,-743.54,Chicago
5997353,10/1/2022,4846.57,3654.67,1191.9,New York
2307077,10/21/2022,7885.56,4399.07,3486.49,Los Angeles
6796400,7/22/2022,1311.99,1286.97,25.02,New York
0084389,2/19/2022,1304.05,3154.65,-1850.6,New York
8040977,11/29/2022,4511.12,644.56,3866.56,New York
9002555,8/19/2022,7278.64,4242.5,3036.14,Chicago
9466040,6/11/2022,7970.57,246.89,7723.68,Miami
3335662,8/2/2022,2882.24,205.98,2676.26,Chicago
0309596,4/23/2022,3460.64,407.62,3053.02,New York
4689517,6/18/2022,2993.06,287.58,2705.48,Miami
5669508,3/27/2022,2169.5,1611.04,558.46,Los Angeles
4376586,10/16/2022,8807.46,4346.28,4461.18,Los Angeles
7285895,3/27/2022,5688.72,4225.6,1463.12,Miami
4149701,5/14/2022,5729.69,774.05,4955.64,Miami
4528900,10/1/2022,568.31,2389.68,-1821.37,Miami
5681502,7/26/2022,1561.53,3591.95,-2030.42,Chicago
2500454,7/29/2022,2828.3,4635.45,-1807.15,Chicago
9631050,4/10/2022,3412.36,314.59,3097.77,Miami
4068066,7/9/2022,5232.1,120.08,5112.02,Miami
9771269,6/17/2022,7028.71,2732.69,4296.02,New York
0153035,11/2/2022,949.66,1262.85,-313.19,Miami
5056890,11/9/2022,8093.68,2965.11,5128.57,Los Angeles
0272209,5/23/2022,2996.15,1170.65,1825.5,Miami
0544980,7/11/2022,2123.91,1259.85,864.06,Miami
1207201,8/27/2022,5293.33,1181.79,4111.54,Miami
6470758,6/1/2022,9081.08,2672.61,6408.47,Chicago
3279326,11/22/2022,841.7,1153.92,-312.22,Miami
